ID,Count
2011100100,135
2011100101,96
2011100102,111
2011100103,102
2011100104,54
2011100105,57
2011100106,48
2011100107,81
2011100108,63
2011100109,81
2011100110,75
2011100111,72
2011100112,78
2011100113,66
2011100114,150
2011100115,57
2011100116,117
2011100117,123
2011100118,114
2011100119,114
2011100120,99
2011100121,111
2011100122,96
2011100123,93
2011100200,126
2011100201,141
2011100202,72
2011100203,81
2011100204,66
2011100205,66
2011100206,81
2011100207,96
2011100208,84
2011100209,60
2011100210,99
2011100211,102
2011100212,93
2011100213,114
2011100214,63
2011100215,126
2011100216,87
2011100217,96
2011100218,120
2011100219,96
2011100220,129
2011100221,138
2011100222,93
2011100223,159
2011100300,105
2011100301,156
2011100302,87
2011100303,81
2011100304,72
2011100305,96
2011100306,66
2011100307,117
2011100308,102
2011100309,141
2011100310,147
2011100311,177
2011100312,180
2011100313,162
2011100314,207
2011100315,210
2011100316,201
2011100317,204
2011100318,180
2011100319,222
2011100320,213
2011100321,192
2011100322,162
2011100323,192
2011100400,222
2011100401,174
2011100402,147
2011100403,99
2011100404,69
2011100405,75
2011100406,90
2011100407,87
2011100408,132
2011100409,177
2011100410,351
2011100411,342
2011100412,309
2011100413,237
2011100414,276
2011100415,294
2011100416,246
2011100417,324
2011100418,327
2011100419,327
2011100420,306
2011100421,273
2011100422,222
2011100423,177
2011100500,216
2011100501,183
2011100502,123
2011100503,99
2011100504,84
2011100505,75
2011100506,138
2011100507,144
2011100508,150
2011100509,144
2011100510,198
2011100511,237
2011100512,186
2011100513,222
2011100514,243
2011100515,243
2011100516,237
2011100517,201
2011100518,270
2011100519,213
2011100520,228
2011100521,198
2011100522,213
2011100523,168
2011100600,168
2011100601,171
2011100602,138
2011100603,99
2011100604,105
2011100605,90
2011100606,66
2011100607,84
2011100608,132
2011100609,102
2011100610,189
2011100611,213
2011100612,201
2011100613,201
2011100614,243
2011100615,183
2011100616,207
2011100617,186
2011100618,222
2011100619,216
2011100620,240
2011100621,252
2011100622,258
2011100623,177
2011100700,222
2011100701,126
2011100702,216
2011100703,111
2011100704,99
2011100705,69
2011100706,72
2011100707,75
2011100708,105
2011100709,138
2011100710,162
2011100711,189
2011100712,177
2011100713,144
2011100714,216
2011100715,201
2011100716,183
2011100717,177
2011100718,183
2011100719,222
2011100720,198
2011100721,177
2011100722,156
2011100723,132
2011100800,129
2011100801,105
2011100802,108
2011100803,111
2011100804,72
2011100805,30
2011100806,60
2011100807,27
2011100808,108
2011100809,72
2011100810,87
2011100811,99
2011100812,132
2011100813,63
2011100814,102
2011100815,87
2011100816,162
2011100817,141
2011100818,135
2011100819,129
2011100820,102
2011100821,126
2011100822,114
2011100823,96
2011100900,105
2011100901,147
2011100902,72
2011100903,99
2011100904,39
2011100905,36
2011100906,78
2011100907,78
2011100908,39
2011100909,75
2011100910,75
2011100911,63
2011100912,114
2011100913,75
2011100914,87
2011100915,99
2011100916,81
2011100917,99
2011100918,138
2011100919,114
2011100920,147
2011100921,111
2011100922,99
2011100923,90
2011101000,90
2011101001,84
2011101002,96
2011101003,54
2011101004,78
2011101005,66
2011101006,54
2011101007,84
2011101008,66
2011101009,126
2011101010,141
2011101011,189
2011101012,177
2011101013,159
2011101014,216
2011101015,195
2011101016,210
2011101017,198
2011101018,225
2011101019,204
2011101020,204
2011101021,159
2011101022,162
2011101023,159
2011101100,132
2011101101,138
2011101102,111
2011101103,135
2011101104,78
2011101105,87
2011101106,84
2011101107,81
2011101108,93
2011101109,114
2011101110,162
2011101111,174
2011101112,195
2011101113,168
2011101114,165
2011101115,186
2011101116,156
2011101117,231
2011101118,234
2011101119,204
2011101120,219
2011101121,240
2011101122,225
2011101123,240
2011101200,222
2011101201,126
2011101202,132
2011101203,78
2011101204,90
2011101205,105
2011101206,93
2011101207,66
2011101208,126
2011101209,165
2011101210,225
2011101211,237
2011101212,207
2011101213,234
2011101214,210
2011101215,204
2011101216,195
2011101217,198
2011101218,156
2011101219,234
2011101220,183
2011101221,168
2011101222,198
2011101223,189
2011101300,138
2011101301,120
2011101302,114
2011101303,96
2011101304,72
2011101305,87
2011101306,102
2011101307,99
2011101308,78
2011101309,111
